precision,recall,threshold
0.025995558547785805,1.0,0.0003785340566623412
0.025995819767675548,1.0,0.0003785880126208554
0.025996080992815154,1.0,0.00037937346833847354
0.025996342223204776,1.0,0.00038117518198203874
0.025996603458844574,1.0,0.0003815084746519254
0.025996864699734706,1.0,0.0003817221232138648
0.02599764845390869,1.0,0.0003827586849981335
0.025998170982945924,1.0,0.0003829209870848837
0.025998432255341385,1.0,0.00038304287680974265
0.025998693532988292,1.0,0.00038320343123988124
0.025998954815886797,1.0,0.0003835906432648248
0.025999216104037066,1.0,0.0003838919444397673
0.025999477397439248,1.0,0.0003840392516050124
0.025999738696093507,1.0,0.0003841343746323084
0.026000261309158886,1.0,0.0003846107840542545
0.026000522623570322,1.0,0.00038465020698859304
0.02600078394323447,1.0,0.0003847059714857724
0.026001045268151484,1.0,0.00038531543239862516
0.026001306598321523,1.0,0.0003857120646070648
0.026001567933744748,1.0,0.0003858951337257386
0.026001829274421316,1.0,0.0003860222541035256
0.026002090620351383,1.0,0.000386159678781113
0.026002351971535113,1.0,0.00038645744478667374
0.02600261332797266,1.0,0.00038656992924664384
0.02600313605660984,1.0,0.0003866078647763957
0.026004181576936996,1.0,0.00038726619823101595
0.026004442970155705,1.0,0.00038761025238309715
0.02600496577235854,1.0,0.00038761122339491146
0.026005488595582986,1.0,0.0003878102358756064
0.02600575001507871,1.0,0.0003880692083621144
0.026006011439830314,1.0,0.0003881780077497763
0.026006272869837952,1.0,0.0003886192440651112
0.026006795745621973,1.0,0.00038877459306028376
